x
1.0997
1.0885
1.0871
1.0687
1.0903
1.0852
1.0857
1.09
0
1.0743
1.0758
1.083
1.0467
1.0823
1.0798
1.0867
1.0968
1.0964
1.1049
1.0834
1.0794
1.0898
1.0829
1.0759
1.0716
0
1.0677
1.0843
1.0439
0
1.0726
1.0464
1.0817
1.083
1.0748
1.0953
1.075
1.0961
1.0782
1.1012
1.0989
1.0592
1.0597
1.1164
1.1036
1.0886
1.0831
1.0841
1.0842
1.0837
1.0687
1.0882
1.0919
1.0876
1.0877
1.0864
1.0737
1.0911
1.0953
1.0816
1.1016
1.0673
1.0953
1.0959
1.083
1.095
1.0995
1.1003
1.093
1.0962
1.1172
1.0842
1.0867
1.0779
1.1043
1.0775
1.1003
1.0781
1.0769
1.0758
1.0706
1.085
1.0615
1.0706
1.0543
1.0788
1.0762
1.0787
1.075
0
0
0
1.0822
1.0826
1.0882
1.0614
1.0768
1.0706
1.0717
1.088
1.075
1.0741
1.0806
1.0634
1.0759
1.0835
1.0746
1.0775
1.0876
1.0749
1.0758
1.0766
1.099
1.0829
1.0626
1.0774
1.0559
1.0701
1.0744
1.0721
1.0972
1.0911
1.0922
1.0778
1.0968
1.072
1.0757
1.0797
1.0938
1.0813
1.1045
1.0931
1.0779
1.0644
1.0912
1.09
1.0807
1.0843
1.0947
1.0807
1.0661
1.0895
1.0764
1.0831
1.08
1.0656
1.0713
1.0815
1.0756
1.0894
1.0825
0
1.069
1.0497
1.0594
1.0685
1.0592
1.0829
1.0867
1.072
1.0811
1.0828
1.0927
1.0815
1.1018
1.078
1.0843
1.0688
1.0902
1.0968
1.0988
1.0787
1.0894
1.0916
1.0798
1.0862
1.067
1.0752
1.056
1.0959
1.0822
1.0669
1.0718
1.069
1.0778
1.0604
1.1081
1.1066
1.0812
1.0929
1.0835
1.0616
1.0788
1.0995
1.1025
1.1096
1.0981
1.0936
1.107
1.0944
1.0887
1.0948
1.0987
1.095
1.095
1.0931
1.0922
1.0677
1.0718
1.0723
1.0811
1.0951
1.0802
1.0617
1.0592
1.0675
0
1.0836
0
1.0804
1.0691
1.0872
1.0902
1.0735
1.1063
1.0703
1.0952
1.0885
1.0967
1.0843
1.0809
1.0877
1.0888
1.0784
1.0874
1.0988
1.0916
1.0735
1.1035
1.1275
1.1016
1.0984
1.0884
1.07
1.091
1.0839
1.102
1.0978
1.0959
1.1065
1.0756
1.096
1.1094
1.1157
1.0998
1.0797
1.0638
1.0927
1.1054
1.0778
1.0797
1.0948
1.0841
1.1106
1.117
1.0793
1.0679
1.0853
1.0922
1.1004
1.1174
1.0802
1.0902
1.0814
1.1165
1.1014
1.0951
1.0883
1.0825
1.0889
1.0972
1.1026
1.0893
1.1114
1.0744
1.0827
1.0973
1.0787
1.0597
1.0914
1.0965
1.0749
1.0865
1.1008
1.1016
1.1046
1.1352
1.1265
1.1056
1.1034
1.1119
1.0955
1.0908
1.1053
1.0946
1.088
1.0804
1.097
1.105
1.1126
1.1049
1.0848
1.0888
1.0962
1.1044
1.1128
1.0992
1.1132
1.1114
1.1002
1.0892
1.0905
1.1003
1.1045
1.1005
1.1006
1.118
1.1001
1.0869
1.1021
1.0812
1.0991
1.0674
1.0808
1.0816
1.0879
1.0919
1.0884
1.0992
1.0888
1.1006
1.1153
1.0994
1.1005
1.0821
1.0896
1.0864
1.0854
1.0882
1.1131
1.097
1.0897
1.0862
1.0965
1.0949
1.0958
1.1043
1.0889
1.0899
1.0825
1.0887
1.0774
1.0893
1.0738
1.0733
1.0794
1.085
1.0948
1.0798
1.1014
1.0856
0
1.0916
1.0955
1.0917
1.085
1.0953
1.0993
1.0997
1.0749
1.0967
1.1009
1.1085
1.1136
1.101
1.0956
1.0783
1.0916
1.0806
0
1.0949
1.0794
1.1003
1.0852
1.0816
1.096
1.0839
1.0875
1.0755
1.0707
1.0734
1.0984
1.0932
1.1088
1.0878
1.0947
1.0885
1.0755
1.0768
1.0981
1.0894
1.0829
1.0993
1.0984
1.0923
1.1024
1.1081
1.0982
1.077
1.0844
1.0908
1.0727
1.0826
1.0856
1.1004
1.0564
1.0914
1.1005
1.1065
1.1139
1.1301
1.1119
1.0952
1.1115
1.1021
1.1153
1.1115
1.0999
1.0993
1.0899
1.1139
1.0935
1.0961
1.099
1.0921
1.0675
1.0975
1.0682
1.0995
1.1038
1.1051
1.0947
1.0689
1.1038
1.1031
1.0939
1.082
1.1095
1.1145
1.0844
1.0821
1.0811
1.1076
1.1012
1.1232
1.1155
1.1084
1.1162
1.1045
1.0923
1.1241
1.1103
1.1068
1.0991
1.084
1.0506
1.0716
1.0831
1.0963
1.1029
1.0947
1.0976
1.0929
